,path_x,numint,path_y,nom_ls,gs_uri,label
0,/home/jupyter/tmp_avant/11170848_983_augmented_avant1242.jpg,11170848,/home/jupyter/tmp_apres/11170848_983_augmented_apres1242.jpg,11170848_983,gs://ofr-vqi-data-pipeline-models-dev/notebook/Idir/folder_10k/folder_10k/folder_10k/11170848_983_aug.jpeg,Not enough context elements
1,/home/jupyter/tmp_avant/24272084_9553_augmented_avant969.jpg,24272084,/home/jupyter/tmp_apres/24272084_9553_augmented_apres969.jpg,24272084_9553,gs://ofr-vqi-data-pipeline-models-dev/notebook/Idir/folder_10k/folder_10k/folder_10k/24272084_9553_aug.jpeg,Not same
2,/home/jupyter/tmp_avant/23175471_5613_augmented_avant495.jpg,23175471,/home/jupyter/tmp_apres/23175471_5613_augmented_apres495.jpg,23175471_5613,gs://ofr-vqi-data-pipeline-models-dev/notebook/Idir/folder_10k/folder_10k/folder_10k/23175471_5613_aug.jpeg,Not same
3,/home/jupyter/tmp_avant/18005274_3955_augmented_avant1022.jpg,18005274,/home/jupyter/tmp_apres/18005274_3955_augmented_apres1022.jpg,18005274_3955,gs://ofr-vqi-data-pipeline-models-dev/notebook/Idir/folder_10k/folder_10k/folder_10k/18005274_3955_aug.jpeg,Not enough context elements
4,/home/jupyter/tmp_avant/24195127_9121_augmented_avant692.jpg,24195127,/home/jupyter/tmp_apres/24195127_9121_augmented_apres692.jpg,24195127_9121,gs://ofr-vqi-data-pipeline-models-dev/notebook/Idir/folder_10k/folder_10k/folder_10k/24195127_9121_aug.jpeg,Not same
5,/home/jupyter/tmp_avant/24648804_10752_augmented_avant1101.jpg,24648804,/home/jupyter/tmp_apres/24648804_10752_augmented_apres1101.jpg,24648804_10752,gs://ofr-vqi-data-pipeline-models-dev/notebook/Idir/folder_10k/folder_10k/folder_10k/24648804_10752_aug.jpeg,Not enough context elements
6,/home/jupyter/tmp_avant/21175140_5158_augmented_avant869.jpg,21175140,/home/jupyter/tmp_apres/21175140_5158_augmented_apres869.jpg,21175140_5158,gs://ofr-vqi-data-pipeline-models-dev/notebook/Idir/folder_10k/folder_10k/folder_10k/21175140_5158_aug.jpeg,Not same
7,/home/jupyter/tmp_avant/23181575_5632_augmented_avant67.jpg,23181575,/home/jupyter/tmp_apres/23181575_5632_augmented_apres67.jpg,23181575_5632,gs://ofr-vqi-data-pipeline-models-dev/notebook/Idir/folder_10k/folder_10k/folder_10k/23181575_5632_aug.jpeg,Not enough context elements
8,/home/jupyter/tmp_avant/24631163_10520_augmented_avant365.jpg,24631163,/home/jupyter/tmp_apres/24631163_10520_augmented_apres365.jpg,24631163_10520,gs://ofr-vqi-data-pipeline-models-dev/notebook/Idir/folder_10k/folder_10k/folder_10k/24631163_10520_aug.jpeg,Not enough context elements
9,/home/jupyter/tmp_avant/23280400_6944_augmented_avant958.jpg,23280400,/home/jupyter/tmp_apres/23280400_6944_augmented_apres958.jpg,23280400_6944,gs://ofr-vqi-data-pipeline-models-dev/notebook/Idir/folder_10k/folder_10k/folder_10k/23280400_6944_aug.jpeg,Not same
